Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Мониторы LCD 23 -24;" 23"" DELL P2312H LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 2 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub/ Pivot/ USB hub"; /3725; 2189369.00000; 
Мониторы LCD 23 -24;" 23"" DELL S2330MX LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 8 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; /3725; 2176429.00000; 
Мониторы LCD 23 -24;" 23"" DELL ST2320L LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 8 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; /3725; 2162263.00000; 
Мониторы LCD 23 -24;" 23"" LG E2341T LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; /3725; 1975485.00000; 
Мониторы LCD 23 -24;" 23"" LG E2351VR LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; /3725; 2128920.00000; 
Мониторы LCD 23 -24;" 23"" Philips 234EL2SB/00 LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 20 000 000:1/ 176°/170°/ 5 мс/ DVI/ HDMI/ D-Sub/ Sound"; /3725; 2001000.00000; 
Мониторы LCD 23 -24;" 23"" Samsung S23A350H LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub/ HDMI"; /3725; 2264371.00000; 
Мониторы LCD 23 -24;" 23"" Samsung S23B300B LED Black-Brown/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 1 000 000:1/ 176°/170°/ 5 мс/ DVI/ D-Sub"; /3725; 1986165.00000; 
Мониторы LCD 23 -24;" 23"" Samsung S23B300N LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; /3725; 1887840.00000; 
Мониторы LCD 23 -24;" 24"" DELL ST2420L LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 8 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; /3725; 2295509.00000; 
Мониторы LCD 23 -24;" 24"" HP ZR2440w LED / 1920x1200/ IPS/ 350 кд/м2/ 2 000 000:1/ 178°/178°/ 6 мс/ DVI/ HDMI/ DP/ USB hub"; /3725; 4782216.00000; 
Мониторы LCD 23 -24;" 24"" LG M2450D+TV LED 1920x1080/ 5000000:1/ 176°/170°/ 5ms/ 250cd/m2/ HDMI/ D-Sub/ 2x5W/ VESA/ ДУ"; /3725; 2921005.00000; 
Мониторы LCD 25 -46;" 27"" Samsung S27A350H LED Black/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub/ HDMI"; /3725; 3860741.00000; 
Системы охлаждения. вентиляторы; Socket 775 Кулер CoolerMaster DI5-9HDSC-A1-GP 2200rpm/ 43.3 CFM / 19dBa/ AL; /3725; 45605.00000; 
Системы охлаждения. вентиляторы; Кулер Cooler Master DK9-7F52B-0L-GP 3 пин/ 2600rpm/ Al / 22 dBA min; /3725; 40176.00000; 
Системы охлаждения. вентиляторы; Кулер Cooler Master DK9-9ID2A-PL-GP 2600 rpm/ 36/2 CFM / Алюм. сердечник/ 125W; /3725; 74166.00000; 
Видеокарты прочих производителей; PCI-E GeForce GT430 Palit NEAT430NHD01-1081F 1024Mb GDDR3 128bit/ HDMI + DVI + VGA/ Oem; /3725; 645815.00000; 
Видеокарты прочих производителей; PCI-E GeForce GTS 450 Palit Smart Edition NEAS450DHD01-1162F 1024Mb GDDR3 128bit/ HDMI + DVI + VGA/ Retail; /3725; 839040.00000; 
Видеокарты прочих производителей; PCI-E GeForce GTX 550Ti Palit NE5X55T0HD09-1061F 1024Mb GDDR5 192bit/ HDMI + 2xDVI/ Oem; /3725; 1296050.00000; 
Жесткие диски(HDD) 2; 1000Gb Seagate ST1000DM005 SATA II 32Mb 7200rpm; /3725; 1059150.00000; 
Жесткие диски(HDD) 4; USB 3.0 HDD Western Digital Elements Portable SE WDBPCK0010BBK-EESN 1000Gb 2.5''/  Black; /3725; 1193700.00000; 
UPS Ippon; UPS Ippon Back Comfo Pro 600 600VA/360Вт интерактивный/ AVR/ xол.старт/ защита модема/ 6 розеток; /3725; 648927.00000; 
UPS Ippon; UPS Ippon Back Office 400 резервный/ 400VA/200Вт/ AVR/ xол.старт/ защита линии/ 4 разъема; /3725; 374983.00000; 
UPS Ippon; UPS Ippon Back Office 600 резервный/ 600VA/300Вт/ AVR/ xол.старт/ защита линии/ 4 разъема; /3725; 410798.00000; 
UPS Ippon; UPS Ippon Back Power Pro 400 400VA/240Вт интерактивный/ AVR/ xол.старт/ защита модема/ 3 розетки; /3725; 465820.00000; 
UPS Ippon; UPS Ippon Back Power Pro 500 500VA/300Вт управляемый/ AVR/ xол.старт/ защита модема/ 3 розетки; /3725; 487983.00000; 
UPS Ippon; UPS Ippon Back Power Pro 700 700VA/400Вт управляемый/ AVR/ xол.старт/ защита модема/ 3 розетки; /3725; 665987.00000; 
UPS Ippon; UPS Ippon Back Power Pro 800 800VA/480Вт управляемый/ AVR/ хол.старт/ защита модема/ 3 розетки; /3725; 773064.00000; 
UPS Ippon; UPS Ippon Smart Power Pro 1000 интерактивный/ 1000ВА/600Вт/ 4 разъема/ USB/ RS-232; /3725; 1118843.00000; 
UPS Ippon; UPS Ippon Сomfo Pro 800 800VA/480Вт интерактивный/ AVR/ xол.старт/ защита модема/ 6 розеток; /3725; 771686.00000; 
Клавиатуры A4Tech; Клавиатура A4Tech G600 Black / 104 кл/ Black; 12237/3725; 213104.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KB-0420 Slim multimedia/internet Black-Silver PS/2; 11848/3725; 130500.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KU-0420 Slim multimedia/internet Black-Silver USB; 12388/3725; 140400.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KU-0503 Black USB with palmrest; 12912/3725; 110700.00000; 
Клавиатуры Defender; Клавиатура Defender Cascade 960 Classic 121 + 17 клавиш/ Silver/ USB; /3725; 59119.00000; 
Клавиатуры Defender; Клавиатура Defender Galileo 4920 B Slim 119 + 13 hot keys/ подсветка клавиш/ USB; /3725; 172901.00000; 
Клавиатуры Defender; Клавиатура Defender Magellan 920 Black PS/2; /3725; 44406.00000; 
Клавиатуры Logitech; Клавиатура Logitech Deluxe 250 USB Black; /3725; 74888.00000; 
Клавиатуры Logitech; Клавиатура Logitech Ultra Flat USB Super Slim 105клавиш; 11725/3725; 172879.00000; 
Клавиатуры Microsoft; Клавиатура Microsoft JQD-00012 SideWinder X4 Keyboard USB; /3725; 474768.00000; 
Клавиатуры Microsoft; Клавиатура Microsoft JWD-00002 Wired Keyboard 200 USB Black; /3725; 87696.00000; 
Комплекты проводные; Клавиатура + мышь Defender I-Motion 555 BrownCordless Mouse 10m/ 1000dpi/ 2кн + 1 кол/ USB; /3725; 225380.00000; 
Комплекты проводные; Клавиатура + мышь Defender I-Space 875 Nano Black/ Wireless/ Slim/ 10m/ 1600dpi/ 3xAAA/ USB; /3725; 250781.00000; 
Комплекты проводные; Клавиатура + мышь Defender S Bern 795 черный лазерная/ беспроводн./ 7 -кноп. 133 клавиши/ USB; /3725; 271259.00000; 
Корпуса для жестких дисков (Mobile Rack); ; /3725; 153397.00000; 
Геймпады; Геймпад Defender Game Master Classic 10 кнопок + кнопки Turbo/Clear/Auto/ D-Pad/ 1.5м/ USB; /3725; 65358.00000; 
Геймпады; Геймпад Defender Scorpion RS3 Wireless 12кнопок+Turbo/Mode/Rumble/ D-Pad/ 3xAAA/ 10m/ USB; /3725; 390579.00000; 
Геймпады; Геймпад Defender Scorpion X7 Wireless 12кнопок+Turbo/Mode/Rumble/ D-Pad/ 3xAAA/ 10m/ Support Dinput и Xinput/ USB; /3725; 332501.00000; 
Кабели питания; Кабель SATA питания; 12293/3725; 11520.00000; 
Переходники; Переходник Logilink CV0036 Mini Display Port to HDMI; /3725; 107217.00000; 
Преобразователи напряжения от прикуривателя автомобиля; Автомобильное зарядное устройство  Logilink  PA0027/ USB Mini Car Charger; /3725; 68050.00000; 
Переходники; Переходник USB Adapter Micro B-M/Mini B-F; /3725; 12832.00000; 
Сетевые фильтры GEMBIRD; Сетевой фильтр Gembird SPG3-B-10РР 5 розеток 3м; /3725; 39780.00000; 
Сетевые фильтры GEMBIRD; Сетевой фильтр Gembird SPG3-B-15РР 5 розеток 5м; /3725; 45900.00000; 
Сетевые фильтры GEMBIRD; Сетевой фильтр Gembird SPG3-B-5PPB 5 розеток 1.5м Black; /3725; 32726.00000; 
Сетевые фильтры GEMBIRD; Сетевой фильтр Gembird SPG3-B-6PPB 5 розеток 1.8м Black; /3725; 35556.00000; 
Компъютеры Артека; 220250V0D45 ПЭВМ SKY SYSTEMS AMD Athlon II X2 220/mATX AM3/DDR3 2Gb/500Gb/DVD-RW/ATX450W; /3725; 2541600.00000; 
Компъютеры Артека; G54225V0D40 ПЭВМ SKY SYSTEMS Intel Celeron G540/mATX 1155/DDR3 2Gb/250Gb/DVD-RW/ATX400W; /3725; 2541600.00000; 
Компъютеры Артека; G62250V0D45 ПЭВМ SKY SYSTEMS Intel Pentium G620/mATX 1155/DDR3 2Gb/500Gb/DVD-RW/ATX450W; /3725; 2874000.00000; 
Компъютеры Артека; G62450V0D45 ПЭВМ SKY SYSTEMS Intel Pentium G620/mATX 1155/DDR3 4Gb/500Gb/DVD-RW/ATX450W; /3725; 2994000.00000; 
Компъютеры Артека; 220225V0D45 ПЭВМ SKY SYSTEMS AMD Athlon II X2 220/mATX AM3/DDR3 2Gb/250Gb/DVD-RW/ATX450W; /3725; 2432400.00000; 
Компъютеры Артека; 4204100V0D45 ПЭВМ SKY SYSTEMS AMD Athlon II X3 420e/mATX AM3/DDR3 4Gb/1000Gb/DVD-RW/ATX450W; /3725; 3092400.00000; 
Компъютеры Артека; 4252150V0D45 ПЭВМ SKY SYSTEMS AMD Athlon II X3 425/mATX AM3/DDR3 2Gb/1500Gb/DVD-RW/ATX450W; /3725; 3381600.00000; 
Компъютеры Артека; 4554100V45D45 ПЭВМ SKY SYSTEMS AMD Athlon II X3 455/mATX AM3/DDR3 4Gb/1000Gb/GTS450 1024 MB/DVD-RW/ATX450W; /3725; 4461600.00000; 
Компъютеры Артека; i2104100V0D50 ПЭВМ SKY SYSTEMS Intel Core i3-2100/mATX 1155/DDR3 4Gb/1000Gb/DVD-RW/ATX500W; /3725; 4243200.00000; 
Компъютеры Артека; i2314100V0D50 ПЭВМ SKY SYSTEMS Intel Core i5-2310/mATX 1155/DDR3 4Gb/1000Gb/DVD-RW/ATX500W; /3725; 4982400.00000; 
Компъютеры Артека; i2404100V0D50 ПЭВМ SKY SYSTEMS Intel Core i5-2400/mATX 1155/DDR3 4Gb/1000Gb/DVD-RW/ATX500W; /3725; 5014800.00000; 
Компъютеры Артека; i2508200V45D50 ПЭВМ SKY SYSTEMS Intel Core i5-2500/ATX 1155/DDR3 8Gb/2000Gb/GTS450 1024MВ/DVD-RW/ATX500W; /3725; 8520000.00000; 
Компъютеры Артека; i2504100V0D50 ПЭВМ SKY SYSTEMS Intel Core i5-2500/mATX 1155/DDR3 4Gb/1000Gb/DVD-RW/ATX500W; /3725; 5330400.00000; 
Компъютеры Артека; E574100V45D45 ПЭВМ SKY SYSTEMS Intel Pentium E5700/mATX 775/DDR3 4Gb/1000Gb/GTS450 1024MB/DVD-RW/ATX450W; /3725; 4352400.00000; 
Корпуса INWIN; Корпус Inwin EAR009T 350W Black-Silver USB+Audio+AIR; /3725; 540697.00000; 
Корпуса INWIN; Корпус Inwin EAR010T 350W Black U2A + AIR; /3725; 540858.00000; 
Блоки питания 400-450 Ватт; Блок питания ATX FSP Q-dion QD400 400W 120mm Fan/ 24+4pin/ PFC; /3725; 236262.00000; 
Процессоры AMD Socket AM3+; Socket AM3 Asus M5A88-M AMD880G ATX/ 4xDDR3/ PCI-E/ HD4250/ SATA/ RAID/ Sound 8ch/ GLan; /3725; 1106300.00000; 
Процессоры AMD Socket AM3+; Socket AM3 Biostar N68S3B MCP68S mATX/ 2xDDR3/ PCI-E/ SVGA/ SATA/ RAID/ Sound 6ch/ GLan; /3725; 407104.00000; 
Процессоры AMD Socket AM3+; Socket AM3 Gigabyte GA-78LMT-S2P AMD 760G/ mATX/ 2xDDR3/ PCI-E/ SVGA/ SATA/ RAID/ Sound 7.1/ GLan; /3725; 547722.00000; 
Процессоры Intel Socket 1155; Socket 1155 AsRock H61M-VS iH61 mATX/ 2xDDR3/ Intel HD/ SATA/ Sound 5.1ch/ GLan; /3725; 572516.00000; 
Процессоры Intel Socket 1155; Socket 1155 Asus P8H61-MX/SI iH61 mATX/ 2xDDR3/ SVGA/ SATA/ Sound 8ch/ DVI/ GLan; /3725; 588294.00000; 
Процессоры Intel Socket 1155; Socket 1155 Asus P8H67-M LE iH67 mATX/ 4xDDR3/ SATA/ RAID/ Sound 7.1ch/ GLan; /3725; 928050.00000; 
Процессоры Intel Socket 1155; Socket 1155 Biostar H61MLC iH61 mATX/ 2xDDR3/ SATA/ Sound 6ch/ GLan; /3725; 488749.00000; 
Процессоры Intel Socket 1155; Socket 1155 MSI H61M-P20 iH61 mATX/ 2xDDR3/ PCI-E/ SATA II/ Sound 7.1ch/ D-Sub/ DVI/ Lan; /3725; 487485.00000; 
Процессоры Intel Socket 1156; Socket 1156 Asrock H55M-LE iH55 mATX/ 2xDDR3/ PCI-E/ Intel HD/ SATA/ Sound 7.1ch/ GLan; /3725; 889203.00000; 
Процессоры Intel Socket 775; Socket 775 Biostar G41D3+ G41+ICH7 mATX/ 2xDDR3/ X4500/ SATA II/ Sound 6ch/ Lan; /3725; 432975.00000; 
Процессоры Intel Socket 775; Socket 775 Biostar G41D3C G41+ICH7 mATX/ 2xDDR3/ X4500/ SATA II/ Sound 6ch/ Lan; /3725; 456550.00000; 
DDR3 Memory 1600MHz и выше; DDR3 2GB (PC3-10600) NCP; /3725; 111090.00000; 
DDR3 Memory 1600MHz и выше; DDR3 4GB (PC-10600) Patriot PSD34G13332; /3725; 200045.00000; 
Карты расширения Secure Digital (SD); Micro Secure Digital (Micro SD) Card 32Gb Silicon Power SP032GBSTH004V10-SP Class 4 + SD Adapter; /3725; 262200.00000; 
Карты расширения Secure Digital (SD); Micro Secure Digital (Micro SD) Card 4096Mb Kingston SD4/4GB Class 4 SDHC; /3725; 28980.00000; 
Карты расширения Secure Digital (SD); Micro Secure Digital (Micro SD) Card 8192Mb Kingston Class 4 SDHC SDC4/8GB; /3725; 49680.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card 16GB Kingston SD4/16GB Class 4 SDHC; /3725; 103500.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card 16Gb Silicon Power SP016GBSDH004V10 Class 4; /3725; 99360.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card 4Gb Silicon Power SP004GBSDH004V10 Class 4; /3725; 38640.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card 8Gb Kingston SD4/8GB Class 4 SDHC; /3725; 51060.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card 8Gb Silicon Power SP008GBSDH004V10 Class 4 SDHC; /3725; 48300.00000; 
Карты расширения Secure Digital (SD); Secure Digital (SD) Card SD4/4Gb Kingston Class 4 SDHC; /3725; 41400.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Kingston DT100G2/16GB Black; /3725; 109020.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Kingston DTIG3/16GB White-Blue; /3725; 109020.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Kingston DTIG3/4Gb White-Black; /3725; 42780.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power LuxMini 710 SP004GBUF2710V1K Black; /3725; 57960.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power LuxMini 910 SP004GBUF2910V1S Silver; /3725; 46920.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power Touch 851 SP004GBUF2851V1G Gold; /3725; 3324.00000; 
Колонки Defender; Defender Mercury 35 Black 2x20W/ karaoke/ деревянный корпус; 11872/3725; 775778.00000; 
Колонки Microlab; Microlab B-55 Black 2x0.5W/ 120 - 16000Ghz; 10513/3725; 97842.00000; 
Колонки Microlab; Microlab B-56 Black 2x1.5W/ 100 - 18000Ghz/ Проводной ПДУ; /3725; 111780.00000; 
Колонки Microlab; Microlab B-72 буковые (2x8Вт/ 50-20000 Гц/ магнитное экранир./ Ш368xВ304xД235/ дерев. корпус); /3725; 361902.00000; 
Колонки Microlab; Microlab B-73 Буковые 2x10W/ 60-20000GHz; 10516/3725; 424862.00000; 
Колонки Microlab; Microlab B-77 Wooden 48W: (2x14W + 2x10W)/ 55-20000 Гц/ MDF; /3725; 565800.00000; 
Колонки Microlab; Microlab Pro2 Тёмное дерево 2х35W RMS/ stereo/ двухполосная/ внеш/ усилитель/ ПДУ/ дерев. корпус; 10519/3725; 1327822.00000; 
Колонки Microlab; Microlab Solo 1 MK3 Буковые 2x30w RMS/ 55 - 22 000 Гц/ деревянный корпус; /3725; 771565.00000; 
Колонки Microlab; Microlab Solo 15 2x22W/ 40Hz - 20kHz/ магнитное экранирование/ деревянный корпус; /3725; 957345.00000; 
Колонки Microlab; Microlab Solo 1C Темное дерево 2x30W/ деревянный корпус/ ПДУ; /3725; 864090.00000; 
Колонки TOP DEVICE; TopDevice TDS-100 2x1.2W Black/ USB; /3725; 212520.00000; 
Колонки Microlab; Microlab FC-550 2.1 54W (15Wx2+24W RMS) 2 кол.+сабв./ Black-Silver/ ПДУ; /3725; 673440.00000; 
Колонки Microlab; Microlab  M-100 2.1 (2.5Wx2+5W RMS) 2 кол.+сабв. Black; /3725; 188137.00000; 
Колонки Microlab; Microlab M-109 2.1 (2.5Wx2+5W RMS) 2 кол.+сабв. Black; /3725; 219420.00000; 
Колонки Microlab; Microlab M-111 2.1 (4Wx2+9W RMS) 2 кол.+сабв./ Черные; 10729/3725; 263781.00000; 
Колонки Microlab; Microlab M-223 2.1  (4Wx2+9W RMS) 2 кол.+сабв. дерев.Black; /3725; 260075.00000; 
Колонки Microlab; Microlab M-290 2.1  (12Wx2+16W RMS) 2 кол.+сабв. дерев.Black; /3725; 317007.00000; 
Колонки Microlab; Microlab M-310 2.1 (12Wx2+16W RMS) 2 кол.+сабв. дерев.Black; /3725; 338790.00000; 
Колонки Microlab; Microlab M-500 2.1 (12Wх2+16W RMS) 2 кол.+сабв. пластик./ Черные; /3725; 379489.00000; 
Колонки Microlab; Microlab M-500U 2.1 (12Wх2+16W RMS) 2 кол.+сабв. дерев./ Черные; /3725; 438840.00000; 
Колонки Microlab; Microlab M-600 2.1 (2x12W+16W RMS) Silver-Black; /3725; 448500.00000; 
Колонки Microlab; Microlab M-700 2.1 (16Wx2+12W RMS) 2 кол.+сабв. дерев./ Черные; /3725; 391920.00000; 
Колонки Microlab; Microlab M-820 2.1 (12Wx2+16W RMS) 2 кол.+сабв. дерев.  черный; /3725; 386346.00000; 
Колонки Microlab; Microlab M-930 2.1 Silver-Black /30W(2х7W+16W)/ встроенный усилитель/ пульт ДУ; /3725; 481620.00000; 
Колонки Microlab; Microlab H500 5.1 Красное дерево/ 320 Вт: 5 х 45 Вт + 95 Вт RMS/ 45 - 22000 Гц/ ДУ; /3725; 3308936.00000; 
Колонки Microlab; Microlab H510 5.1 270W: 32Wx5 + 110W/ 20-20000GHz/ 80dBa/ дерево/ ПДУ/ Black; 10988/3725; 2884824.00000; 
Колонки Microlab; Microlab M-700 5.1 62W(5х8W+22W)/ встроенный усилитель/ Black; /3725; 716009.00000; 
Микрофоны; Микрофон Canyon CNR-MIC 1 Black; /3725; 45504.00000; 
Микрофоны; Микрофон Canyon CNR-MIC3 Black; /3725; 68112.00000; 
Микрофоны; Микрофон Defender MIC-130 для караоке/ 5м кабель; 12188/3725; 24185.00000; 
Микрофоны; Микрофон Defender MIC-140 беспроводной/ для караоке; 12189/3725; 104802.00000; 
Микрофоны; Микрофон Defender MIC-142 беспроводной / для караоке/ 15м; 11793/3725; 76660.00000; 
Микрофоны; Микрофон Defender MIC-155 набор 2 беспроводных микрофона/ 30м; /3725; 177944.00000; 
Гарнитуры; Гарнитура Defender HN-102 с регулятором громкости; /3725; 26632.00000; 
Гарнитуры; Гарнитура Defender HN-750 стерео/ регулят. громк./ 4м кабель; /3725; 54743.00000; 
Гарнитуры; Гарнитура Defender HN-818 стерео/ регулят. громк./ 1.8м кабель; /3725; 164229.00000; 
Гарнитуры; Гарнитура Defender HN-860 стерео/ регулят. громк./ 3м кабель; /3725; 57867.00000; 
Гарнитуры; Гарнитура Defender HN-875 стерео/ регулят. громк./ 3м кабель; /3725; 76443.00000; 
Гарнитуры; Гарнитура Defender HN-928 стерео/ регулят. громк./ 3м кабель; /3725; 60332.00000; 
Гарнитуры; Гарнитура Defender HN-G117 стерео/ регулят. громк./ 2.6м кабель/ USB; /3725; 427281.00000; 
Гарнитуры; Гарнитура Logitech Dialog-220/ Black; /3725; 37019.00000; 
Мыши A4Tech; Мышь A4Tech G7-100N-2 V-Track Wireless 15m/ 2000dpi/ 2кн + 1кол 4D/ USB/ White; /3725; 158526.00000; 
Мыши A4Tech; Мышь A4Tech G7-250NX-1 V-Track Wireless 15m/ 2000dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 166172.00000; 
Мыши A4Tech; Мышь A4Tech G7-300N-1 V-Track Wireless 15m/ 2000dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 141443.00000; 
Мыши A4Tech; Мышь A4Tech G7-400N-1 V-Track Wireless 15m/ 2000dpi/ 2кн + 1кол 4D/ USB/ Black-Red; /3725; 155420.00000; 
Мыши A4Tech; Мышь A4Tech N-100-1 V-Track 1000dpi/ 2кн + 1кол/ USB/ Carbon; /3725; 73111.00000; 
Мыши A4Tech; Мышь A4Tech N-200X V-Track 1600dpi/ 3кн + 1кол/ USB/ Grey; /3725; 72872.00000; 
Мыши A4Tech; Мышь A4Tech N-250X-1 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ BLack; /3725; 71319.00000; 
Мыши A4Tech; Мышь A4Tech N-310-1 V-Track 1000dpi/ 3кн + 1кол 4D/ USB/ Black+Orange; /3725; 65824.00000; 
Мыши A4Tech; Мышь A4Tech N-400-1 V-Track 1000dpi/ 2кн + 1кол 4D/ USB/ Grey; /3725; 62479.00000; 
Мыши A4Tech; Мышь A4Tech N-600X-1 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 71080.00000; 
Мыши A4Tech; Мышь A4Tech N-61FX-2 V-Track 1600dpi/ 3кн + 1кол 4D/ USB/ Black; /3725; 92583.00000; 
Мыши A4Tech; Мышь A4Tech N-70FX-1 V-Track 1600dpi/ 6кн + 1кол 4D/ USB/ Black; /3725; 78606.00000; 
Мыши A4Tech; Мышь A4Tech N-770FX-1 V-Track 1600dpi/ 4кн + 1кол 4D/ USB/ Black; /3725; 77889.00000; 
Мыши Defender; Mышь Defender Athena 225 Nano 1600dpi/ 4кн + 1 кол/ 10m/ USB/ Grey; /3725; 139024.00000; 
Мыши Defender; Mышь Defender Athena 225 Nano 1600dpi/ 4кн + 1 кол/ 10m/ USB/ Violet; /3725; 139024.00000; 
Мыши Defender; Mышь Defender Discovery MM-425 Nano Wireless 1600dpi/ 5кн + 1кол/ 10m/ 1xAA/ USB/ White; /3725; 120424.00000; 
Мыши Defender; Mышь Defender Discovery MS-410 1000dpi/ 2кн + 1кол/ Black/ USB; /3725; 62568.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / Black; /3725; 32101.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White; /3725; 35336.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White-Blue; /3725; 34793.00000; 
Мыши Defender; Мышь Defender NetSprinter 440 1000dpi/ 2 кн + 1 кол/ USB / White-Pink; /3725; 34793.00000; 
Мыши Defender; Мышь Defender Opera 880 2000dpi/ 4 кн + 1 кол/ USB / Red; /3725; 69552.00000; 
Мыши Defender; Мышь Defender Optimum 115 Nano Wireless 2000dpi/ 3 кн + 1 кол/ 10m/ 2xAA/ USB; /3725; 98978.00000; 
Мыши Defender; Мышь Defender Phantom 320 Black 800dpi/ 3кн + 1 кол/ USB; /3725; 39056.00000; 
Мыши Defender; Мышь Defender Pulsar 655 Gray/ Cordless 1600dpi/ 4кн + 1кол/ USB; /3725; 134544.00000; 
Мыши Defender; Мышь Defender Rider 205Nano B Optical/ Cordless/ 1000dpi/ 2кн + кол/ USB/ Nano приемник/ Black; /3725; 129557.00000; 
Мыши Defender; Мышь Defender Verso MB-120 800dpi/ 2 кн + 1 кол/ PS/2 / Black; /3725; 28474.00000; 
Мыши Defender; Мышь Defender Verso MB-120 800dpi/ 2 кн + 1 кол/ PS/2 / Grey; /3725; 30280.00000; 
Мыши Defender; Мышь Defender Verso MM-395 Nano Optical/ 10m/ 1600dpi/ 4кн + 1 кол/ USB / Iron Grey; /3725; 116924.00000; 
Мыши Defender; Мышь Defender Verso MS-375 Nano Optical  Wireless/ 10m/1600dpi/ 4 кн + 1 кол/ USB / Black Piano; /3725; 114908.00000; 
Мыши Logitech; Мышь Logitech S-96 (800 Dpi) Optical PS/2 Black; 2492/3725; 48532.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 3000 S9J-00004 Optical/ 2кн + 1кол./ USB; /3725; 140976.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 6000 5CJ-00002 Optical/ 3кн + 1кол./ USB; /3725; 253506.00000; 
Мыши Microsoft; Мышь Microsoft Comfort Mouse 6000 S7J-00004 Optical/ 5кн + 1кол./ USB; /3725; 247680.00000; 
Мыши Microsoft; Мышь Microsoft Compact Mouse 100 4PJ-00003 2кн + 1кол./ USB/ Black; /3725; 66960.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 4PP-00002 USB Black; /3725; 97980.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00058 USB Green; /3725; 113472.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00060 USB Pink; /3725; 119784.00000; 
Мыши Microsoft; Мышь Microsoft Compact Optical Mouse 500 U81-00062 3кн + 1кол./ USB/ Red; /3725; 113472.00000; 
Мыши Microsoft; Мышь Microsoft Express Mouse T2J-00004 3кн + 1кол/ USB/ White + Red; /3725; 159840.00000; 
Мыши Microsoft; Мышь Microsoft Express Mouse T2J-00010 3кн + 1кол/ USB/ White + Grey; /3725; 159840.00000; 
Мыши Microsoft; Мышь Microsoft Optical Mouse 100 4JJ-00003 2кн + 1кол./ USB/ Black; /3725; 65952.00000; 
Мыши Microsoft; Мышь Microsoft Ready 3EG-00004 2кн + 1кол./ USB/ Black; /3725; 130962.00000; 
Мыши Microsoft; Мышь Microsoft SideWinder X3 UUC-00005 Laser/ 7кн + 1 кол./ Black-Grey; /3725; 400890.00000; 
Мыши Microsoft; Мышь Microsoft Wireless Mobile Mouse 3500 5RH-00001 3кн + 1кол./ USB/ Black; /3725; 206352.00000; 
